id	species	gene_names	gene_synonyms	description	term_ids	sources
10	ath	At5g41040|RWP1|AT5G41040	AT5G41040|RWP1|ASFT|HHT|REDUCED LEVELS OF WALL-BOUND PHENOLICS 1|aliphatic suberin feruloyl-transferase|hydroxycinnamoyl- CoA:&omega;-hydroxyacid O-hydroxycinnamoyltransferase|MEE6.11|MEE6_11	Abnormal aromatic suberin biosynthesis.	GO:0009058|CHEBI:60973|PATO:0001236|PATO:0000460|GO:0010345|GO:0052325|GO:0050734|PO:0008019|PO:0009005|PO:0009009|PO:0009025|PO:0009031|PO:0009046|PO:0020038|PO:0020100|PO:0005047|PO:0005059|PO:0009088|PO:0000293|PO:0001185|PO:0007064|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
11	ath	At1g31800|CYP97A3|AT1G31800	"AT1G31800|CYP97A3|LUT5|""cytochrome P450, family 97, subfamily A, polypeptide 3""|LUTEIN DEFICIENT 5|F5M6.19|F5M6_19"	Abnormal carotenoid levels.  18% reduction in lutein and accumulates &#945.-cryptoxanthin and &#945.-carotene. The latter was shown to be almost exclusively localized in photosystems. Decrease in &#946.-carotene level. Reduction in total &beta.,&beta.-carotenoids and increase in total &beta.,&epsilon.-carotenoids. Accumulates &#945.-carotene and zeinoxanthin at levels nearly identical to lut5-1 and lut1-4 single mutants, respectively. Same as lut5-1 but weaker allele.	PO:0000003|PATO:0000033|PATO:0000460|CHEBI:23044|GO:0016117|GO:0009941|GO:0009507|GO:0016123|GO:0010291|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
12	ath	At1g69180|CRC|AT1G69180	AT1G69180|CRC|CRABS CLAW|F4N2.14|F4N2_14|TRANSCRIPTION FACTOR CRC	Abnormal carpel development.  strong allele. lacks nectaries. gynoecium is wider and shorter throughout development, it fails to fuse at the apex,  ovule reduced in number, carpels are reduced in height, style tissue reduced and split medially. slight loss in flower meristem determinacy (occasionally consists of three carpels). siliques are broader laterally and about half the length of wt. weak allele. lacks nectaries. gynoecium is wider and shorter throughout development, it sometimes fails to fuse at the apex, ovule reduced in number. nearly normal style growth. slight loss in flower meristem determinacy (occasionally consists of three carpels). siliques are broader laterally and closer to the wt length. Development of ectopic ovules with random distribution: 1 to 10 per gynoecium. Grow more slowly than wild type, flower 10-14 days later, have reduced organ sizes, exhibit slight epinasty of their leaves and flowers, and display reduced apical dominance. In double mutant carpels, two rows of primordia arise, extending along the length of the ovary, most of which subsequently develop into ovules (mostly morphologically abnormal). Ectopic adaxial tissues are restricted to the medial domain of the carpels, normally occupied by the abaxial replum.  Formation of external ovule-bearing placentae. Short siliques.  Indeterminate floral mersitem - carpels enclose extra floral organs. .	GO:0048440|PATO:0001236|PATO:0000460|GO:0003700|GO:0006355|GO:0010582|GO:0010254|GO:0048479|GO:0009944|PO:0009056|PO:0009062|PO:0000037|PO:0009009|PO:0009010|PO:0009031|PO:0009032|PO:0009046|PO:0025022|PO:0020003|PO:0001078|PO:0001081|PO:0004507|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
13	ath	At4g36930|SPT|AT4G36930	AT4G36930|SPT|SPATULA|AP22.25|AP22_25	Abnormal carpel development.  gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set. Ovules defective without integuments (female sterile). floral organs narrow and reduced in number. vegetative growth less vigorous. Also segregating for the spt-2 allele: gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set, stronger allele. Gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract reduced, reduced seed set, weaker allele. also homozygous for a mutant allele of eceriferum2, bright green epidermis. Gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set. The hec1,2,3 spt quadruple mutant had an enhanced phenotype compared to the hec1,2,3 triple or spt single. Carpels were completely unfused at the apical part, up to one third of the entire fruit indicative of a synergistic interaction. Reduced seed dormancy. Germination occurs in the light and in the absence of cold treatment.	GO:0048440|PATO:0001236|PATO:0000460|GO:0010154|GO:0009409|GO:0003700|GO:0005634|GO:0010114|GO:0005515|GO:0007623|GO:0009908|GO:0010187|PO:0009030|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0025374	Plant PhenomeNET|TAIR
14	ath	At5g60920|COB|AT5G60920|apocytochrome b	ATMG00220|ATMG00220.1|AT5G60920|COB|COBRA|MSL3.40|MSL3_40	Abnormal cell expansion orientation. Reduced crystalline cellulose in root. Abnormal cell expansion orientation. Reduced crystalline cellulose in root.  Callus-induced roots from the mutant displayed the mutant phenotype when they grew under restrictive conditions. All the mutants responded to a gravitropic stimulus in a manner similar to wild type although the change of the direction of growth was slower than wild type. When grown on media containing 0.5% sucrose, the mutant had reduced root length but no apparent radial cell expansion. semidominant mutation. variable, increased root diameter and short roots due to increased width and reduced length of cells. cell volume is similar to wild type but more variable. reduced root cell division rate. the orientation of root expansion is changed, which may not be dependent on any change in microtubule orientation. a conditional root expansion (CORE) mutant with high sucrose medium required to see phenotype (i.e., conditions of maximal growth rate required). no effect on phenotype of aerial part of plant. Dark grown hypocotyls have reduced length compared to wild type. Root cells appear swollen and have abnormal radial expansion. Epidermal cells bulge. Cotyledon and hypocotyls are smaller and thicker than wild type. Cellulose microfibrils are randomly oriented. mon1/cob-6 showed restored seedling root growth on 1/2 MS plates compared with cob-6 single mutant.	GO:0016049|PATO:0001236|PATO:0000460|PO:0025025|PATO:0001163|CHEBI:62968|GO:0031225|GO:0010215|GO:0005886|GO:0046658|GO:0009930|GO:0009651|GO:0009825|GO:0009505|GO:0003674|PO:0000005|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025181|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
15	ath	At2g35100|ARAD1|AT2G35100	AT2G35100|ARAD1|ARABINAN DEFICIENT 1|T4C15.23|T4C15_23|arabinosyltransferase	Abnormal cell wall composition. Low arabinose levels. Abnormal cell wall composition. Low arabinose levels.  Cell wall composition was altered in mutant plants. Analysis of cell wall polysaccharides isolated from mutant leaves and stems showed that arabinose content was reduced to about 75% and 46%, respectively, of wild-type levels. Immunohistochemical analysis indicated a specific decrease in arabinan with no change in other pectic domains or in glycoproteins. Radial cell expansion of the stem tissue was increased in mutant plants, but the cellular structure of the stem was also not altered. No other visible phenotypic changes were detected in the mutant plants.	GO:0005618|PATO:0000025|PATO:0000460|PO:0000003|PATO:0001163|CHEBI:22599|GO:0005802|GO:0005768|GO:0005794|GO:0045489|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0009015|PO:0020124|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131	Plant PhenomeNET|TAIR
16	ath	At1g42550|PMI1|AT1G42550|PLASTID MOVEMENT IMPAIRED1	AT1G42550|PMI1|PLASTID MOVEMENT IMPAIRED1|T8D8.2|T8D8_2|AT1G42550.1	Abnormal chloroplast movement under a variety of light fluence rates.  mutant plants exhibit severely attenuated chloroplast movements under all tested fluence rates of light. Leaf cross sections revealed that regardless of the light condition, chloroplasts are more evenly distributed in leaf mesophyll cells in mutants than in the wild type. severely attenuated chloroplast movement, similar phenotype to pmi1-2. Defective in chloroplast relocation.	GO:0009507|PATO:0001906|PATO:0000460|EO:0007196|GO:0003674|GO:0009902|GO:0005886|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000014|PO:0009005|PO:0000005|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
17	ath	At1g75100|JAC1|AT1G75100	AT1G75100|JAC1|AUXILIN-LIKE6|J-domain protein required for chloroplast accumulation response 1|F9E10.5|F9E10_5	Abnormal chloroplast movement in the dark. Abnormal chloroplast movement under weak blue light. Abnormal chloroplast movement under weak blue light and in the dark.  defective in chloroplast accumulation response (but not in the avoidance response). defective in the cloroplast accumulation response (but not in the avoidance response).	GO:0009902|PATO:0001236|PATO:0000460|EO:0007270|GO:0009507|PATO:0001906|EO:0007218|GO:0007015|GO:0009903|GO:0071483|GO:0009904|GO:0005737|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
18	ath	At3g25690|CHUP1|AT3G25690	AT3G25690|CHUP1|AtCHUP1|CHLOROPLAST UNUSUAL POSITIONING 1|Arabidopsis thaliana CHLOROPLAST UNUSUAL POSITIONING 1|T5M7.14	Abnormal chloroplast positioning.	GO:0019750|PATO:0001529|PATO:0000460|GO:0009902|GO:0009707|GO:0009507|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
19	ath	At3g46640|PCL1|AT3G46640	AT3G46640|PCL1|LUX|PHYTOCLOCK 1|LUX ARRHYTHMO|F12A12.160	Abnormal circadian rhythms.  Long hypocotyl.  Plants flower early in short- and long-day conditions.  Arrhythmic CAB2:LUC (reporter gene) expression and leaf movement in constant light, monochromatic red or blue light.  Arrhythmic CCR2::LUC (reporter gene) expression in constant dark and constant light. Long hypocotyl.  Plants flower early in short- and long-day conditions.  Arrhythmic CAB2:LUC (reporter gene) expression and leaf movement in constant light, monochromatic red or blue light. Long hypocotyl seedlings.   Arrhythmic CAB2::LUC (reporter gene) expression under constant light.	GO:0007623|PATO:0002323|PATO:0000460|GO:0006355|PO:0000293	Plant PhenomeNET|TAIR
20	ath	At5g57360|ZTL|AT5G57360	AT5G57360|ZTL|LKP1|ADO1|FKL2|ZEITLUPE|LOV KELCH PROTEIN 1|ADAGIO 1|FKF1-LIKE PROTEIN 2|MSF19.2|MSF19_2	Abnormal circadian rhythms.  Altered circadian clock controlled processes.	GO:0007623|PATO:0002323|PATO:0000460|GO:0006511|GO:0005829|GO:0019005|GO:0031146|GO:0009908|GO:0010498|GO:0005515|GO:0042752|GO:0010114|GO:0005634|GO:0043153|GO:0009882|PO:0009001|PO:0009005|PO:0009046|PO:0009047|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001017	Plant PhenomeNET|TAIR
21	ath	At3g20810|JMJ30|AT3G20810|JMJD5	AT3G20810|JMJD5|JMJ30|jumonji domain containing 5|Jumonji C domain-containing protein 30|MOE17.12	Abnormal circadian rhythms in leaf movements.  Shortened period length of circadian rhythms under constant light conditions.	GO:0007623|PO:0009025|PATO:0001236|PATO:0000460|GO:0042752|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
22	ath	At1g78570|RHM1|AT1G78570	AT1G78570|RHM1|ROL1|ATRHM1|rhamnose biosynthesis 1|REPRESSOR OF LRX1 1|ARABIDOPSIS THALIANA RHAMNOSE BIOSYNTHESIS 1|T30F21.10|T30F21_10|AtRHM1	Abnormal cotyledon growth. Deformed trichomes. Slightly shorter root hairs. Slightly shorter roots. Abnormal cotyledon growth. Slightly shorter roots and root hairs. Deformed trichomes.  Slightly deformed cotyledons and pavement cells. Short roots with short root hairs. Aberrations in cell shape, which result in oversized cotyledon pavement cells that lack typical lobes. aberrant cotyledon development, with an uneven cotyledon surface and hyponastic growth. compared with the wild type, the size of adaxial pavement cells in the cotyledons is frequently increased  and the typical jigsaw puzzle-like cell shape of pavement cells is absent (cell borders are straight and the characteristic lobes are absent). this phenotype is restricted to the adaxial side of the cotyledon. Stomatal distribution is  affected in cotyledons. plants have fewer stomata than wild-type plants, and the stomata are frequently larger than those of wild-type plants. Trichomes of the first rosette leaves are strongly deformed. A detailed analysis of the rol1-2 mutants show aberrant cotyledon development with an uneven  surface and hyponastic growth, aberrant pavement cell and stomatal morphology in cotyledons, and defective trichome formation. Further the typical jigsaw puzzle–like cell shape of pavement cells was absent in rol1-2 mutants. No significant differences in the amounts of the major sugars of cell wall material, including Rha, were identified between the WT and rol1-2.  However, rol1-2 and lrx1 rol1-2 showed an approx 30% reduction in the RG II-specific monosaccharides 2-O-methyl-D-xylose and 2-O-methyl-L-fucose.  These methylated sugars are diagnostic components of the two large Rha-containing side chains of RG II, and their reduced abundance may reflect a defect in the synthesis of RG II.	GO:0048825|PATO:0001236|PATO:0000460|PO:0000282|PATO:0001617|GO:0035618|PATO:0000574|PO:0025025|GO:0051555|GO:0010315|GO:0010253|GO:0010280|GO:0009506|GO:0005829|GO:0050377|PO:0009001|PO:0009005|PO:0009025|PO:0009047|PO:0009049|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025195|PO:0000293|PO:0007131|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017|PO:0001170	Plant PhenomeNET|TAIR
