	id	species	gene_names	gene_synonyms	description	term_ids	sources
6349	6349	ath	EMB1206		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6337	6337	ath	EMB1192		embryo defective. terminal embryo phenotype: variable.		TAIR
6339	6339	ath	EMB1194		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6340	6340	ath	EMB1195		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6341	6341	ath	EMB1197		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6342	6342	ath	EMB1198		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6343	6343	ath	EMB1199		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6344	6344	ath	EMB120		developmental arrest of mutant embryos occurs at globular stage, fat linear. pale yellow-green to pale green seeds. pale yellow-green to pale green embryo. 20.5% mutant. 56.3% aborted seeds in top half of silique.		TAIR
6345	6345	ath	EMB1200		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6346	6346	ath	EMB1203		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6347	6347	ath	EMB1204		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6338	6338	ath	EMB1193		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6327	6327	ath	EMB1179		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6373	6373	ath	EMB1233		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6375	6375	ath	EMB1235		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6400	6400	ath	EMB1267		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6401	6401	ath	EMB1269		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6402	6402	ath	EMB1271		embryo defective. terminal embryo phenotype: variable.		TAIR
6403	6403	ath	EMB1272		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6404	6404	ath	EMB1274		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6405	6405	ath	EMB1277		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6406	6406	ath	EMB1278		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6407	6407	ath	EMB1279		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6408	6408	ath	EMB128		developmental arrest of mutant embryos occurs at preglobular stage. white seeds. 25.2% mutant. 57.1% aborted seeds in top half of silique.		TAIR
6399	6399	ath	EMB1266		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6409	6409	ath	EMB1280		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6411	6411	ath	EMB1282		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6412	6412	ath	EMB1283		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6413	6413	ath	EMB1284		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6414	6414	ath	EMB1285		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6415	6415	ath	EMB1286		embryo defective. terminal embryo phenotype: variable.		TAIR
6416	6416	ath	EMB1287		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6417	6417	ath	EMB1288		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6418	6418	ath	EMB129		developmental arrest of mutant embryos occurs at late preglobular stage. white seeds. 14.8% mutant. 54% aborted seeds in top half of silique.		TAIR
6419	6419	ath	EMB1292		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6410	6410	ath	EMB1281		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6374	6374	ath	EMB1234		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6398	6398	ath	EMB1264		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6396	6396	ath	EMB1261		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6376	6376	ath	EMB1237		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6377	6377	ath	EMB1239		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6378	6378	ath	EMB1240		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6379	6379	ath	EMB1244		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6380	6380	ath	EMB1246		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6381	6381	ath	EMB1247		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6382	6382	ath	EMB1248		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6383	6383	ath	EMB1249		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6384	6384	ath	EMB125		developmental arrest of mutant embryos occurs at globular stage. white seeds. white embryo. 28% mutant. 52.9% aborted seeds in top half of silique.		TAIR
6397	6397	ath	EMB1262		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6385	6385	ath	EMB1250		embryo defective. terminal embryo phenotype: variable.		TAIR
6387	6387	ath	EMB1252		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6388	6388	ath	EMB1254		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6389	6389	ath	EMB1255		embryo defective. terminal embryo phenotype: variable.		TAIR
6390	6390	ath	EMB1256		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6391	6391	ath	EMB1257		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6392	6392	ath	EMB1258		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6393	6393	ath	EMB1259		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6394	6394	ath	EMB126		developmental arrest of mutant embryos occurs at globular stage. white seeds. white embryo. 20.1% mutant. 45.3% aborted seeds in top half of silique.		TAIR
6395	6395	ath	EMB1260		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6386	6386	ath	EMB1251		embryo defective. further details not available.		TAIR
6326	6326	ath	EMB1178		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6325	6325	ath	EMB1177		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6324	6324	ath	EMB1176		embryo defective. terminal embryo phenotype: variable.		TAIR
6255	6255	ath	EMB1089		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6256	6256	ath	EMB109		developmental arrest of mutant embryos occurs at late preglobular stage. white seeds. 22.5% mutant. 51.3% aborted seeds in top half of silique.		TAIR
6257	6257	ath	EMB1090		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6258	6258	ath	EMB1091		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6259	6259	ath	EMB1092		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6260	6260	ath	EMB1093		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6261	6261	ath	EMB1095		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6262	6262	ath	EMB1096		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6263	6263	ath	EMB1098		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6254	6254	ath	EMB1088		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6264	6264	ath	EMB1099		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6266	6266	ath	EMB1100		embryo defective. terminal embryo phenotype: transition/cotyledon stage.		TAIR
6267	6267	ath	EMB1101		embryo defective. terminal embryo phenotype: variable.		TAIR
6268	6268	ath	EMB1102		embryo defective. terminal embryo phenotype: transition/cotyledon stage.		TAIR
6269	6269	ath	EMB1103		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6270	6270	ath	EMB1105		embryo defective. terminal embryo phenotype: variable.		TAIR
6271	6271	ath	EMB1106		embryo defective. terminal embryo phenotype: transition/cotyledon stage.		TAIR
6272	6272	ath	EMB1107		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6273	6273	ath	EMB1108		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6274	6274	ath	EMB111		developmental arrest of mutant embryos occurs at globular stage, elongated. pale yellow-green seeds. white embryo. 24% mutant. 50.2% aborted seeds in top half of silique.		TAIR
6265	6265	ath	EMB110		developmental arrest of mutant embryos occurs at globular stage. white seeds. white embryo. 15.9% mutant. 55.1% aborted seeds in top half of silique.		TAIR
6275	6275	ath	EMB1110		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6253	6253	ath	EMB1087		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6251	6251	ath	EMB1084		embryo defective. terminal embryo phenotype: variable.		TAIR
6231	6231	ath	EMB1057		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6232	6232	ath	EMB1058		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6233	6233	ath	EMB1059		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6234	6234	ath	EMB106		developmental arrest of mutant embryos occurs at globular stage. elongated, triangular embryo. pale yellow-green seeds. white to pale yellow-green embryo. 25.6% mutant. 50.8% aborted seeds in top half of silique. developmental arrest of mutant embryos occurs at heart stage, elongated, (emb155). white to pale yellow-green seeds. white embryo. 24.6% mutant. 51.6% aborted seeds in top half of silique.		TAIR
6235	6235	ath	EMB1060		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6236	6236	ath	EMB1061		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6237	6237	ath	EMB1063		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6238	6238	ath	EMB1064		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6239	6239	ath	EMB1065		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6252	6252	ath	EMB1086		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6240	6240	ath	EMB1066		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6242	6242	ath	EMB1071		embryo defective. further details not available.		TAIR
6243	6243	ath	EMB1073		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6244	6244	ath	EMB1074		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6245	6245	ath	EMB1076		embryo defective. terminal embryo phenotype: variable.		TAIR
6246	6246	ath	EMB1077		embryo defective. further details not available.		TAIR
6247	6247	ath	EMB1079		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6248	6248	ath	EMB108		developmental arrest of mutant embryos occurs at preglobular stage. white seeds. 19.5% mutant. 56.8% aborted seeds in top half of silique.		TAIR
6249	6249	ath	EMB1081		embryo defective. terminal embryo phenotype: variable.		TAIR
6250	6250	ath	EMB1082		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6241	6241	ath	EMB1068		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6276	6276	ath	EMB1111		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6277	6277	ath	EMB1112		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6278	6278	ath	EMB1113		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6304	6304	ath	EMB1155		embryo defective. further details not available.		TAIR
6305	6305	ath	EMB1156		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6306	6306	ath	EMB1157		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6307	6307	ath	EMB1158		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6308	6308	ath	EMB1159		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6309	6309	ath	EMB1160		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6310	6310	ath	EMB1161		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6311	6311	ath	EMB1163		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6312	6312	ath	EMB1164		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6303	6303	ath	EMB1154		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6313	6313	ath	EMB1165		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6315	6315	ath	EMB1167		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6316	6316	ath	EMB1168		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6317	6317	ath	EMB1169		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6318	6318	ath	EMB117		developmental arrest of mutant embryos occurs at globular stage, altered suspensor. white seeds. white embryo. 23.4% mutant. 46.7% aborted seeds in top half of silique.		TAIR
6319	6319	ath	EMB1170		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6320	6320	ath	EMB1171		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6321	6321	ath	EMB1172		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6322	6322	ath	EMB1173		embryo defective. further details not available.		TAIR
6323	6323	ath	EMB1174		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6314	6314	ath	EMB1166		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6302	6302	ath	EMB1151		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6301	6301	ath	EMB115		developmental arrest of mutant embryos occurs at large globular stage. pale yellow-green seeds. white embryo. 25.6% mutant. 46.7% aborted seeds in top half of silique.		TAIR
6300	6300	ath	EMB1149		embryo defective. terminal embryo phenotype: variable.		TAIR
6279	6279	ath	EMB1116		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6280	6280	ath	EMB1117		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6281	6281	ath	EMB1118		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6282	6282	ath	EMB1119		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6283	6283	ath	EMB1121		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6284	6284	ath	EMB1122		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6285	6285	ath	EMB1123		embryo defective. terminal embryo phenotype: variable.		TAIR
6286	6286	ath	EMB1125		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6287	6287	ath	EMB1128		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6288	6288	ath	EMB1131		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6289	6289	ath	EMB1132		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6290	6290	ath	EMB1133		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6291	6291	ath	EMB1134		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6292	6292	ath	EMB1137		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6293	6293	ath	EMB1139		embryo defective. terminal embryo phenotype: variable.		TAIR
6294	6294	ath	EMB1140		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6295	6295	ath	EMB1141		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6296	6296	ath	EMB1142		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6297	6297	ath	EMB1143		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6298	6298	ath	EMB1145		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6299	6299	ath	EMB1148		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6420	6420	ath	EMB1293		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6230	6230	ath	EMB1054		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6421	6421	ath	EMB1294		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6423	6423	ath	EMB1296		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6545	6545	ath	EMB1451		embryo defective. terminal embryo phenotype: variable.		TAIR
6546	6546	ath	EMB1454		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6547	6547	ath	EMB1455		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6548	6548	ath	EMB1456		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6549	6549	ath	EMB1457		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6550	6550	ath	EMB1458		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6551	6551	ath	EMB146		developmental arrest of mutant embryos occurs at preglobular stage. white seeds. 23.8% mutant. 60.3% aborted seeds in top half of silique.		TAIR
7862	7862	ath	XV		yellow-green cotyledons, leaf margins yellow, small plants. yellow-green cotyledons, leaf margins yellow. narrow leaves. yellow-green cotyledons, leaf margins yellow. delayed flowering. yellow-green cotyledons, leaf margins yellow. delayed flowering (ca. 3-4x), large rosettes with numerous rounded leaves. lacks trichomes on stems and leaves, some trichomes in leaf margins.		TAIR
6552	6552	ath	EMB1460		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6544	6544	ath	EMB1450		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6553	6553	ath	EMB1461		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6555	6555	ath	EMB1465		embryo defective. terminal embryo phenotype: variable.		TAIR
6556	6556	ath	EMB1468		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6557	6557	ath	EMB1469		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6558	6558	ath	EMB1470		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6559	6559	ath	EMB1471		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6560	6560	ath	EMB1472		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6561	6561	ath	EMB1475		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6562	6562	ath	EMB1477		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6563	6563	ath	EMB1478		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6554	6554	ath	EMB1463		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6564	6564	ath	EMB1479		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6543	6543	ath	EMB145		developmental arrest of mutant embryos occurs at globular stage, irregular protoderm. pale yellow-green seeds. white to pale yellow-green embryo. 26.3% mutant. 47.5% aborted seeds in top half of silique.		TAIR
6541	6541	ath	EMB1448		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6521	6521	ath	EMB1419		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6522	6522	ath	EMB1422		embryo defective. terminal embryo phenotype: variable.		TAIR
6523	6523	ath	EMB1423		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6524	6524	ath	EMB1425		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6525	6525	ath	EMB1426		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6526	6526	ath	EMB1429		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6527	6527	ath	EMB1430		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6528	6528	ath	EMB1431		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6529	6529	ath	EMB1432		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6542	6542	ath	EMB1449		embryo defective. terminal embryo phenotype: variable.		TAIR
6530	6530	ath	EMB1433		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6532	6532	ath	EMB1435		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6533	6533	ath	EMB1437		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6534	6534	ath	EMB1438		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6535	6535	ath	EMB1439		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6536	6536	ath	EMB1442		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6537	6537	ath	EMB1443		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6538	6538	ath	EMB1445		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6539	6539	ath	EMB1446		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6540	6540	ath	EMB1447		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6531	6531	ath	EMB1434		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6520	6520	ath	EMB1418		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6565	6565	ath	EMB148		developmental arrest of mutant embryos occurs at preglobular stage. white seeds. 24.3% mutant. 58.0*% aborted seeds in top half of silique.		TAIR
6567	6567	ath	EMB1481		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6592	6592	ath	EMB1506		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6593	6593	ath	EMB1508		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6594	6594	ath	EMB1509		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6595	6595	ath	EMB151		developmental arrest of mutant embryos occurs at globular-heart stage. pale yellow-green seeds. white to pale yellow-green embryo. 22.7% mutant. 58.3% aborted seeds in top half of silique.		TAIR
6596	6596	ath	EMB1510		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6597	6597	ath	EMB1511		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6598	6598	ath	EMB1512		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6599	6599	ath	EMB1514		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6600	6600	ath	EMB1515		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6591	6591	ath	EMB1505		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6601	6601	ath	EMB1516		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6603	6603	ath	EMB1518		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6604	6604	ath	EMB1519		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6605	6605	ath	EMB152		developmental arrest of mutant embryos occurs at linear stage. curled, large shoot apical meristem (SAM).white seeds. white embryo. 25.5% mutant. 52.5% aborted seeds in top half of silique.		TAIR
6606	6606	ath	EMB1520		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6607	6607	ath	EMB1521		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6608	6608	ath	EMB1522		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6609	6609	ath	EMB1523		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6610	6610	ath	EMB1524		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6611	6611	ath	EMB1525		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6602	6602	ath	EMB1517		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6566	6566	ath	EMB1480		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6590	6590	ath	EMB1504		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6588	6588	ath	EMB1502		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6568	6568	ath	EMB1482		embryo defective. further details not available.		TAIR
6569	6569	ath	EMB1483		embryo defective. further details not available.		TAIR
6570	6570	ath	EMB1484		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
6571	6571	ath	EMB1485		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6572	6572	ath	EMB1487		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6573	6573	ath	EMB1488		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6574	6574	ath	EMB1489		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6575	6575	ath	EMB149		developmental arrest of mutant embryos occurs at globular-heart stage. pale yellow-green seeds. pale yellow-green embryo. 23% mutant. 55% aborted seeds in top half of silique.		TAIR
6576	6576	ath	EMB1490		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6589	6589	ath	EMB1503		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6577	6577	ath	EMB1491		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6579	6579	ath	EMB1493		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6580	6580	ath	EMB1494		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6581	6581	ath	EMB1495		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6582	6582	ath	EMB1496		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6583	6583	ath	EMB1497		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6584	6584	ath	EMB1498		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6585	6585	ath	EMB1499		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6586	6586	ath	EMB15		developmental arrest of mutant embryos occurs at globular stage. white seeds. white embryo. 26.3% mutant. 47.9% aborted seeds in top half of silique.		TAIR
6587	6587	ath	EMB150		developmental arrest of mutant embryos occurs at torpedo-linear stage, distorted appearance. pale yellow-green to pale green seeds. pale yellow-green to pale green embryo. 24.1% mutant. 50.9% aborted seeds in top half of silique.		TAIR
6578	6578	ath	EMB1492		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6519	6519	ath	EMB1416		embryo defective. terminal embryo phenotype: preglobular/globular stage.		TAIR
