species,group_ids,gene_identifiers
ath,S,At1g06950|TIC110|Translocon at Inner Envelope Membrane of Chloroplasts
ath,V,At1g07130|STN1|Arabidopsis Ortholog of Yeast STN1
ath,S,At1g07320|EMB2784|Embryo Defective
ath,V,At1g07360|MAC5A|MOS4-Associated Complex Subunit
ath,H,At1g07530|SCL14|GRAS2|Scarecrow-Like
ath,V,At1g07630|PLL5|POL-Like
ath,V,At1g07890|APX1|Ascorbate Peroxidase
ath,P,At1g07930|eEF1A2|Eukaryotic Elongation Factor
ath,V,At1g08030|TPST|Tyrosylprotein Sulfotransferase
ath,B,At1g08060|MOM|Maintenance of Methylation
ath,B,At1g08090|NRT2|LIN1|Nitrate Transport Defective
ath,S,At1g08130|LIG1|DNA Ligase
ath,L,At1g08190|AtVPS41|ZIP2
ath,S,At1g08260|EMB2284|TIL1|EMB529|AtPOL2a|ABO4|ESD7|Embryo Defective
ath,L,At1g08370|DCP1|Decapping
ath,H,At1g08430|ALMT1|Aluminum-Activated Malate Transporter
ath,I,At1g08450|CRT3|EBS2|PSL1|Calreticulin
ath,S,At1g08510|FATB|Fatty Acyl-ACP Thioesterase B
ath,L,At1g08520|PDE166|CHLD|Pigment Defective Embryo
ath,V,At1g08540|ABC1|SIG2|Aberrant Chloroplasts
ath,B,At1g08550|NPQ1|AVDE1|Nonphotochemical Quenching Defective
ath,S,At1g08560|KN|SYP111|Knolle
ath,B,At1g08630|THA1|Threonine Aldolase
ath,G,At1g08660|MGP2|Male Gametophyte Defective
ath,I,At1g08720|EDR1|Enhanced Disease Resistance
ath,C,At1g08810|MYB60|MYB Domain Protein
ath,S,At1g08840|EMB2411|DNA2|Embryo Defective
ath,V,At1g09090|AtrbohB|Respiratory Burst Oxidase Homolog
ath,H,At1g09100|RPT5B
ath,V,At1g09210|CRT1b|Calreticulin
