group_id,group_name
ko00290,"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"
ko03015,mRNA surveillance pathway - Homo sapiens (human)
ko00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
ko00905,Brassinosteroid biosynthesis - Solanum lycopersicum (tomato)
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
ko04626,Plant-pathogen interaction - Solanum lycopersicum (tomato)
ko00440,Phosphonate and phosphinate metabolism - Homo sapiens (human)
ko03420,Nucleotide excision repair - Homo sapiens (human)
ko00920,Sulfur metabolism - Homo sapiens (human)
ko00908,Zeatin biosynthesis - Solanum lycopersicum (tomato)
ko00061,Fatty acid biosynthesis - Homo sapiens (human)
ko03030,DNA replication - Homo sapiens (human)
ko03018,RNA degradation - Homo sapiens (human)
ko00511,Other glycan degradation - Homo sapiens (human)
ko00510,N-Glycan biosynthesis - Homo sapiens (human)
ko00909,Sesquiterpenoid and triterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko00100,Steroid biosynthesis - Homo sapiens (human)
ko00300,Lysine biosynthesis - Solanum lycopersicum (tomato)
ko00670,One carbon pool by folate - Homo sapiens (human)
ko00710,Carbon fixation in photosynthetic organisms - Solanum lycopersicum (tomato)
ko00062,Fatty acid elongation - Homo sapiens (human)
ko00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)"
ko00261,Monobactam biosynthesis - Solanum lycopersicum (tomato)
ko00513,Various types of N-glycan biosynthesis - Homo sapiens (human)
ko00073,"Cutin, suberine and wax biosynthesis - Solanum lycopersicum (tomato)"
ko03022,Basal transcription factors - Homo sapiens (human)
ko04016,MAPK signaling pathway - plant - Solanum lycopersicum (tomato)
ko00270,Cysteine and methionine metabolism - Homo sapiens (human)
ko00072,Synthesis and degradation of ketone bodies - Homo sapiens (human)
ko00660,C5-Branched dibasic acid metabolism - Solanum lycopersicum (tomato)
ko00310,Lysine degradation - Homo sapiens (human)
ko00460,Cyanoamino acid metabolism - Solanum lycopersicum (tomato)
ko00500,Starch and sucrose metabolism - Homo sapiens (human)
ko00514,Other types of O-glycan biosynthesis - Homo sapiens (human)
ko03020,RNA polymerase - Homo sapiens (human)
ko03008,Ribosome biogenesis in eukaryotes - Homo sapiens (human)
ko00071,Fatty acid degradation - Homo sapiens (human)
ko03430,Mismatch repair - Homo sapiens (human)
