species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
ath,AT1G01060,,AT1G01060,"The mutant plants are hypersensitive to both FRc and Rc light treatments in hypocotyl elongation and exhibits a small reciprocal enlargement in cotyledon area, albeit not statistically significant.",,TAIR
ath,AT1G01070,,AT1G01070,Significantly elevated levels of amino acids in the seeds. Reduced seed volume.,,TAIR
ath,AT1G01120,,AT1G01120,"Thin stems, sensitive to low humidity",,TAIR
ath,AT1G01140,,AT1G01140,hypersensitive to low potassium media,,TAIR
ath,AT1G01220,,AT1G01220,"fkgp-1 mutants have about 40 times more L-fucose than wild type Arabidopsis plants, but the levels of other monosaccharides do not appear to differ significantly in the mutants. No obvious phenotypic abnormalities were observed in the fkgp-1 mutants, nor were any differences in the sugar composition of cell wall polysaccharides detected.",,TAIR
ath,AT1G01220,,AT1G01220,"fkgp-2 mutants have about 40 times more L-fucose than wild type Arabidopsis plants. No obvious phenotypic abnormalities were observed in the fkgp-2 mutants, nor were any differences in the sugar composition of cell wall polysaccharides detected.",,TAIR
ath,AT1G01280,,AT1G01280,"Slightly longer inflorescences, an extended period of blooming, a reduced number of elongated siliques, and overall reduced seed set. About a third of the siliques failed to develop. Pollen was not developed (lower and middle part of the inflorescence) or reduced (apical flowers).",,TAIR
ath,AT1G01280,,AT1G01280,"Slightly longer inflorescences, an extended period of blooming, a reduced number of elongated siliques, and overall reduced seed set. About a third of the siliques failed to develop. Pollen was not developed (lower and middle part of the inflorescence) or reduced (apical flowers).",,TAIR
ath,AT1G01370,,AT1G01370,"cenh3-1 GFP-tailswap progeny have short stature, altered rosette leaf morphology and a high degree of male sterility. Other progeny have a wild type phenotype.",,TAIR
ath,AT1G01370,,AT1G01370,"The mutant shows ABA insensitivity in stomatal movement, including promotion of stomatal closure and inhibition of stomatal opening. The detached leaves of the mutant lose more water than those of the wild-type plants under dehydration condition; both young seedlings and mature plants of the mutant have lower capacity to conserve water during drought stress in comparison with wild-type plants. The ROS levels increase in the mutant in comparison with wild-type plants in both the whole leaves and in guard cells. Treatment with low concentrations of ABA reduces ROS levels in both whole leaves(1 to 10 uM ABA application) and in guard cells(5 uM ABA application) in the mutant plants.",,TAIR
ath,AT1G01480,,AT1G01480,"enhanced hypocotyl length in light-grown seedlings, enlarged cotyledons, increased plant height",,TAIR
ath,AT1G01480,,AT1G01480,decreased plant height,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,increased plant height,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,increased plant height,,TAIR
ath,AT1G01480,,AT1G01480,increased plant height,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,increased plant height,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,no dramatic change in phenotype,,TAIR
ath,AT1G01480,,AT1G01480,"enhanced hypocotyl length in light-grown seedlings, increased plant height, decreased ethylene production, early flowering",,TAIR
ath,AT1G01480,,AT1G01480,"enhanced hypocotyl length in light-grown seedlings, increased plant height, decreased ethylene production, early flowering",,TAIR
ath,AT1G01480,,AT1G01480,"enhanced hypocotyl length in light-grown seedlings, increased plant height, decreased ethylene production, early flowering",,TAIR
ath,AT1G01480,,AT1G01480,"enhanced hypocotyl length in light-grown seedlings, increased plant height, decreased ethylene production, early flowering",,TAIR
